occupation,translated_occupation,label
Agrarwissenschaftler,Agricultural scientist,STEM
Landarbeiter,Agricultural worker,Business & Economics
Landwirtschaft,Agriculture,Business & Economics
Agronom,Agronomist,STEM
KI-Forscher,AI researchers,Academics & Humanities
Aikidoka,Aikidoka,Sports
Luftwaffenoffizier,Air Force officer,Governance & Society
Fluglotse,Air traffic controller,STEM
Flugzeugkonstrukteur,Aircraft designer,STEM
Fluggerätemechaniker,Aircraft mechanic,STEM
Airman,Airman,Governance & Society
Albanologe,Albanologist,Unconventional & Misc
Alchemist,Alchemist,STEM
Ratsherr,Alderman,Governance & Society
Schöffe,Alderman,Governance & Society
Beigeordneter,Alderman,Governance & Society
Algenkundler,Algae expert,STEM
Mehrkämpfer,All-around fighter,Sports
Allergologe,Allergist,Health & Medicine
Allod,Allod,Unconventional & Misc
Ministrant,Altar boy,Religion & Philosophy
Altarbauer,Altar builder,Religion & Philosophy
Heilpraktiker,Alternative practitioner,Health & Medicine
Amanuensis,Amanuensis,Academics & Humanities
Laiendarsteller,Amateur actors,Arts & Culture
Amateurastronom,Amateur astronomer,STEM
Amateurfilmer,Amateur filmmaker,Academics & Humanities
Amateurhistoriker,Amateur historian,Academics & Humanities
Amateurfotograf,Amateur photographer,Arts & Culture
Botschafter,Ambassador,Governance & Society
Botschafter in einem Land,Ambassador in a country,Governance & Society
Bernstein-Juwelier,Amber jeweler,Arts & Culture
American-Football-Trainer,American football coach,Sports
Amerikanist,Americanist,Academics & Humanities
Amokläufer,Amok runner,Sports
Anachoret,Anachoret,Religion & Philosophy
Analyst,Analyst,STEM
Analysechemiker,Analytical chemist,STEM
analytischer Philosoph,analytical philosopher,Academics & Humanities
Anarchist,Anarchist,Governance & Society
Anarchosyndikalist,Anarcho-syndicalist,Governance & Society
Anatom,Anatomy,Health & Medicine
Altamerikanistik,Ancient American Studies,Academics & Humanities
Altamerikanist,Ancient Americanist,Academics & Humanities
Althistoriker,Ancient historian,Academics & Humanities
Altorientalist,Ancient Orientalist,Academics & Humanities
Androloge,Andrologist,Academics & Humanities
Angiologe,Angiologist,Academics & Humanities
anglikanischer Priester,Anglican priest,Religion & Philosophy
Anglist,Anglicist,Academics & Humanities
Tierkünstler,Animal artist,Arts & Culture
Tierzüchter,Animal breeder,Business & Economics
Tierfilmer,Animal filmmaker,Arts & Culture
Tierpfleger,Animal keeper,Business & Economics
Tiermaler,Animal painter,Arts & Culture
Tierschützer,Animal rights activists,Governance & Society
Tierrechtler,Animal rights activists,Governance & Society
Tiertrainer,Animal trainer,Sports
Animator,Animator,Arts & Culture
Animateur,Animator,Arts & Culture
Ansager,Announcer,Arts & Culture
Anthropologe,Anthropologist,Academics & Humanities
Anthroposoph,Anthroposophist,Religion & Philosophy
Antifaschist,Anti-fascist,Governance & Society
Antiquar,Antiquarian bookseller,Arts & Culture
Antiquitätensammler,Antique collector,"Arts & Culture, Business & Economics"
Antiquitätenhändler,Antique dealer,"Arts & Culture, Business & Economics"
Altertumsforscher,Antiquity researcher,Academics & Humanities
Antisemit,Anti-Semite,Governance & Society
Aphoristiker,Aphorist,Arts & Culture
Apidologe,Apidologist,Unconventional & Misc
Apnoe-Taucher,Apnea diver,Sports
Apostolischer Protonotar,Apostolic Protonotary,Religion & Philosophy
apostolischer Visitator,apostolic visitator,Religion & Philosophy
Geräteturner,Apparatus gymnast,Sports
Applikationsexperte,Application expert,Business & Economics
Auszubildender,Apprentice,Unconventional & Misc
Aquarianer,Aquarist,Business & Economics
Arabist,Arabist,Academics & Humanities
Arachnologe,Arachnologist,STEM
Arkanist,Arcanist,Religion & Philosophy
Erzabt,Archabbot,STEM
Archäobotaniker,Archaeobotanist,STEM
Archäoinformatiker,Archaeoinformatician,STEM
Archäologischer Denkmalpfleger,Archaeological monument conservator,Arts & Culture
Archäologe,Archaeologist,Academics & Humanities
Archäometriker,Archaeometrician,STEM
Archäotechnik,Archaeotechnology,STEM
Archäozoologe,Archaeozoologist,Academics & Humanities
Archäozoologie,Archaeozoology,Academics & Humanities
Erzbischof,Archbishop,Religion & Philosophy
Archidiakon,Archdeacon,Religion & Philosophy
Bogenschütze,Archer,Unconventional & Misc
Architekt,Architect,STEM
Architekturhistoriker,Architectural historian,Academics & Humanities
Architekturmaler,Architectural painter,Arts & Culture
Architekturfotograf,Architectural photographer,Arts & Culture
Architekturtheoretiker,Architectural theorist,Academics & Humanities
Architekturschriftsteller,Architectural writer,Arts & Culture
Architekturkritiker,Architecture critic,Arts & Culture
Archivdirektor,Archive Director,Arts & Culture
Archivar,Archivist,Academics & Humanities
Erzpriester,Archpriest,Religion & Philosophy
Aristokrat,Aristocrat,Governance & Society
Rechenkünstler,Arithmetic artist,Arts & Culture
Armenologe,Armenologist,Academics & Humanities
Armierungssoldat,Armored soldier,Governance & Society
Waffenhändler,Arms dealer,Unconventional & Misc
Heeresoffizier,Army officer,Governance & Society
Arrangeur,Arranger,Arts & Culture
Kunstsammler,Art collector,Arts & Culture
Kunstkritiker,Art critic,Arts & Culture
Kunstkritik,Art criticism,Arts & Culture
Kunsthändler,Art dealer,Arts & Culture
Artdirector,Art director,Arts & Culture
Kunstfälscher,Art forger,Unconventional & Misc
Kunsthistoriker,Art historian,"Academics & Humanities, Arts & Culture"
Kunstmanagement,Art management,Business & Economics
Kunstlehrer,Art teacher,Arts & Culture
Kunsttheoretiker,Art theorist,Arts & Culture
Kunsttherapeut,Art therapist,Health & Medicine
Kunstdieb,Art thief,Unconventional & Misc
Kunstschriftsteller,Art writer,Arts & Culture
Kunsthandwerker,Artisans,Arts & Culture
Künstleragent,Artist agent,Arts & Culture
Artist in Residence,Artist in Residence,Arts & Culture
Kunstradfahrer,Artistic cyclist,Arts & Culture
künstlerischer Leiter,artistic director,Arts & Culture
Kunstpfeifer,Artistic whistler,Arts & Culture
Künstler,Artists,Arts & Culture
Künstlermodell,Artist's model,Arts & Culture
Arisierung,Aryanization,Governance & Society
Attentäter,Assassin,Governance & Society
Assessor,Assessor,Governance & Society
Assistent,Assistant,Business & Economics
Handlungsgehilfe,Assistant,Business & Economics
Regieassistent,Assistant director,Business & Economics
Assistenzarzt,Assistant doctor,Health & Medicine
Assistant Professor,Assistant Professor,Academics & Humanities
Assistenzsportkommentator,Assistant sports commentator,Sports
Verbandsfunktionär,Association official,Business & Economics
Assyriologe,Assyriologist,Academics & Humanities
Asteroidenentdecker,Asteroid explorer,STEM
Astrologe,Astrologer,STEM
Astronom,Astronomer,STEM
Astronomiehistoriker,Astronomy historian,Academics & Humanities
Astrophysiker,Astrophysicist,STEM
Leichtathlet,Athlete,Sports
Sportler,Athlete,Sports
Leichtathletik,Athletics,Sports
Leichtathletiktrainer,Athletics coach,Sports
Atmosphärenwissenschaftler,Atmospheric scientist,STEM
Attorney,Attorney,Law
Generalstaatsanwalt,Attorney General,Law
Auktionator,Auctioneer,Business & Economics
Hörbuchsprecher,Audiobook speaker,Arts & Culture
Audiologe,Audiologist,Academics & Humanities
Auditor,Auditor,Business & Economics
Wirtschaftsprüfer,Auditor,Business & Economics
Australian-Football-Spieler,Australian football player,Sports
Autor,Author,"Academics & Humanities, Arts & Culture"
Urheber,Author,Arts & Culture
Verfasser eines Vorwortes,Author of a foreword,Arts & Culture
Autorenlesung,Author reading,Arts & Culture
Bevollmächtigter,Authorized representative,Governance & Society
Prokurist,Authorized signatory,Business & Economics
Autobiograf,Autobiographer,Arts & Culture
Automobilkaufmann,Automobile salesman,Business & Economics
Ingenieur der Fahrzeugtechnik,Automotive engineer,STEM
Kfz-Mechatroniker,Automotive mechatronics technician,STEM
Weihbischof,Auxiliary Bishop,Religion & Philosophy
Luftverkehrskaufmann,Aviation merchant,Business & Economics
Luftfahrtpionier,Aviation pioneer,STEM
Axiologie,Axiology,Religion & Philosophy
Backgroundsänger,Background singer,Arts & Culture
Bakteriologe,Bacteriologist,STEM
Badmintontrainer,Badminton coach,Sports
Badmintonspieler,Badminton player,Sports
Vogt,Bailiff,Governance & Society
Amtmann,Bailiff,Governance & Society
Bäcker,Baker,Arts & Culture
Balkanologe,Balkanologist,Academics & Humanities
Ballerina,Ballerina,Arts & Culture
Balletttänzer,Ballet dancer,Arts & Culture
Ballettmeister,Ballet master,Arts & Culture
Ballettlehrer,Ballet teacher,Academics & Humanities
Ballistiker,Ballistician,Governance & Society
Ballonfahrer,Balloonist,Sports
Balneologe,Balneologist,Health & Medicine
Baltist,Baltist,Academics & Humanities
Bandleader,Bandleader,Arts & Culture
Bandolero,Bandolero,Unconventional & Misc
Bandoneonist,Bandoneonist,Arts & Culture
Banjospieler,Banjo player,Arts & Culture
Bank,Bank,Business & Economics
Bankmanager,Bank manager,Business & Economics
Bankbeamter,Bank officer,Business & Economics
Bankräuber,Bank robber,Unconventional & Misc
Bankier,Banker,Business & Economics
Bankkaufmann,Banker,Business & Economics
Bankbetriebswirt,Banking economist,Business & Economics
Bankfachwirt,Banking specialist,Unconventional & Misc
Barbier,Barber,Arts & Culture
Barfußhistoriker,Barefoot historian,Academics & Humanities
Bariton,Baritone,Arts & Culture
Fassmaler,Barrel painter,Arts & Culture
Barkeeper,Bartender,Business & Economics
Baseballspieler,Baseball player,Sports
Basketball-Assistenztrainer,Basketball assistant coach,Sports
Basketballtrainer,Basketball coach,Sports
Basketballspieler,Basketball player,Sports
Basketballschiedsrichter,Basketball referee,Sports
Bassgitarre,Bass guitar,Arts & Culture
Bassgitarrist,Bass guitarist,Arts & Culture
Bassbariton,Bass-baritone,Arts & Culture
Bassist,Bassist,Arts & Culture
Fagottist,Bassoonist,Arts & Culture
Batologe,Batologist,STEM
Schlachtenmaler,Battle painter,Arts & Culture
Beachhandball-Trainer,Beach handball coach,Sports
Beachhandball-Spieler,Beach handball players,Sports
Beachvolleyballspieler,Beach volleyball player,Sports
Beatboxer,Beatboxer,Arts & Culture
Kosmetiker,Beautician,Health & Medicine
Schönheitswettbewerbsteilnehmer,Beauty contest participants,Arts & Culture
Imker,Beekeeper,Business & Economics
Käfersammler,Beetle collector,Business & Economics
Bettler,Beggar,Unconventional & Misc
Verhaltensökologe,Behavioral ecologist,STEM
Verhaltensgenetiker,Behavioral geneticist,STEM
Verhaltensforscher,Behavioral scientist,STEM
Verhaltenstherapeut,Behavioral therapist,Unconventional & Misc
Glockensachverständiger,Bell expert,Arts & Culture
Glockengießer,Bell founder,STEM
Glockenkundler,Bell ringers,Governance & Society
Bauchtänzer,Belly dancer,Arts & Culture
Bergmeister,Bergmeister,Business & Economics
Bhikkhu,Bhikkhu,Religion & Philosophy
Bhikkhuni,Bhikkhuni,Unconventional & Misc
Biathlet,Biathlete,Sports
Biathlontrainer,Biathlon coach,Sports
Bibelübersetzer,Bible translator,Religion & Philosophy
Biblischer Archäologe,Biblical archaeologist,Religion & Philosophy
Bibelwissenschaftler,Biblical scholar,Religion & Philosophy
Bibliograph,Bibliographer,Academics & Humanities
Bibliophiler,Bibliophile,Academics & Humanities
Bigband-Leader,Big band leader,Arts & Culture
Großwildjäger,Big game hunter,Sports
Billardspieler,Billiard player,Sports
Einbandforschung,Binding research,Academics & Humanities
Bioakustiker,Bioacoustician,STEM
Biochemiker,Biochemist,STEM
Bioingenieur,Bioengineer,STEM
Bioethiker,Bioethicist,STEM
Biogeochemiker,Biogeochemist,STEM
Biogeograph,Biogeographer,STEM
Biograf,Biographer,"Academics & Humanities, Arts & Culture"
Bioinformatiker,Bioinformatician,STEM
Biologiehistoriker,Biological historian,Academics & Humanities
Biologe,Biologist,STEM
Biologielehrer,Biology teacher,Academics & Humanities
Biomathematiker,Biomathematician,STEM
Biomediziningenieur,Biomedical engineer,STEM
Biophysiker,Biophysicist,STEM
Biosemiotiker,Biosemiotics,STEM
Biostatistiker,Biostatistician,STEM
Biotechniker,Biotechnician,STEM
Vogelzüchter,Bird breeder,Business & Economics
Kunstschmied,Blacksmith,STEM
Blogger,Blogger,Arts & Culture
Bluesmusiker,Blues musician,Arts & Culture
BMX-Fahrer,BMX rider,Sports
Vorstandsmitglied,Board member,Business & Economics
Rechnungsrat,Board of Auditors,Business & Economics
Studienrat,Board of studies,Academics & Humanities
Kommerzienrat,Board of Trade,Business & Economics
Bootsbauer,Boat builder,STEM
Bobfahrer,Bobsledder,Sports
Bobtrainer,Bobsleigh trainer,Sports
Boccia-Spieler,Boccia player,Sports
Karosseriebauunternehmen,Body shop,Business & Economics
Bodybuilder,Bodybuilder,Sports
Personenschützer,Bodyguards,Governance & Society
Bohemist,Bohemian,Governance & Society
Bomberpilot,Bomber pilot,Governance & Society
Knochenbrecher,Bone crusher,Sports
Buchkünstler,Book artist,Arts & Culture
Buchsammler,Book collector,Arts & Culture
Buchgestalter,Book designer,Arts & Culture
Buchhistoriker,Book historian,Academics & Humanities
Buchmaler,Book illuminator,Arts & Culture
Bücher-Restaurator,Book restorer,Arts & Culture
Buchwissenschaftler,Book scientist,STEM
Buchbinder,Bookbinder,Arts & Culture
Booker (Modelagentur),Booker (model agency),Business & Economics
Buchhändler,Bookseller,Business & Economics
Grenzsoldat,Border guard,Governance & Society
Bossierer,Bossier,Arts & Culture
botanischer Illustrator,botanical illustrator,Arts & Culture
Botaniker,Botanist,STEM
Bouquiniste,Bouquiniste,Academics & Humanities
Bogenmacher,Bow maker,STEM
Boxmanager,Box manager,Sports
Boxpromoter,Box promoter,Sports
Boxer,Boxer,Sports
Boxtrainer,Boxing coach,Sports
Box-Schiedsrichter,Boxing referee,Sports
Lustknabe,Boy toy,Governance & Society
Breaker,Breaker,Unconventional & Misc
Breakerin,Breaker,Unconventional & Misc
Brauer und Mälzer,Brewers and maltsters,Arts & Culture
Maurer,Bricklayer,Business & Economics
Brückenbauer,Bridge builder,STEM
Bridgespieler,Bridge player,Sports
Brigadegeneral,Brigadier General,Governance & Society
Rundfunkautor,Broadcast author,Arts & Culture
Rundfunkjournalist,Broadcast journalist,Arts & Culture
Rundfunkintendant,Broadcasting director,Arts & Culture
Rundfunkpionier,Broadcasting pioneer,Arts & Culture
Makler,Broker,Business & Economics
Bronzegießer,Bronze caster,Arts & Culture
Bordellbesitzer,Brothel owner,Business & Economics
Bruder,Brother,Religion & Philosophy
Bürstenbinder,Brush ties,Unconventional & Misc
Bryologe,Bryologist,STEM
Bryozoologe,Bryozoologist,STEM
Buddhist,Buddhist,Religion & Philosophy
Buddhologe,Buddhologist,Academics & Humanities
Budōka,Budōka,Unconventional & Misc
Bauamt,Building authority,Business & Economics
Hochbaufacharbeiter,Building construction worker,Business & Economics
Bauunternehmer,Building contractor,Business & Economics
Baurat,Building council,Governance & Society
Baudirektor,Building Director,Business & Economics
Bauinspektor,Building inspector,Business & Economics
Baubeamter,Building official,Business & Economics
Bauforscher,Building researcher,Academics & Humanities
Bausoldat,Building soldier,Governance & Society
Bautechniker,Building technician,STEM
Einbrecher,Burglar,Unconventional & Misc
Busfahrer,Bus driver,Governance & Society
Betriebswirt,Business economist,Business & Economics
Betriebswirtschaftler,Business economist,Business & Economics
Betriebswirt (VWA),Business economist (VWA),Business & Economics
Wirtschaftspädagoge,Business educator,"Academics & Humanities, Business & Economics"
Wirtschaftsinformatiker,Business IT specialist,Business & Economics
Wirtschaftsjournalist,Business journalist,Business & Economics
Wirtschaftsjurist,Business lawyer,"Business & Economics, Law"
Geschäftsmann,Businessman,Business & Economics
Kaufmann für Versicherungen und Finanzen,Businessman for insurance and finance,Business & Economics
Kaufmann für Marketingkommunikation,Businessman for marketing communication,Business & Economics
Kaufmann für Bürokommunikation,Businessman for office communication,Business & Economics
Kaufmann im Groß- und Außenhandel,Businessman in wholesale and foreign trade,Business & Economics
Fleischer,Butcher,Business & Economics
Byzantinist,Byzantinist,Academics & Humanities
Taxifahrer,Cab driver,Unconventional & Misc
Kabarettist,Cabaret artist,Arts & Culture
Ebenist,Cabinetmaker,Arts & Culture
Berechnungsingenieur,Calculation engineer,STEM
Rechenmeister,Calculator,STEM
Kalligraf,Calligrapher,Arts & Culture
Kameraoperateur,Camera operator,Arts & Culture
Kameramann,Cameraman,Arts & Culture
Camgirl,Camgirl,Arts & Culture
Canadian-Football-Spieler,Canadian football player,Sports
Krebsforscher,Cancer researcher,Academics & Humanities
Kerzenzieher,Candlestick,Business & Economics
Kannibale,Cannibal,Unconventional & Misc
Kanupolospieler,Canoe polo player,Sports
Kanutrainer,Canoe trainer,Sports
Kanute,Canoeist,Sports
Domherr,Canon,Religion & Philosophy
Kanoniker (Musik),Canon (Music),Arts & Culture
Kanonissin,Canoness,Religion & Philosophy
Kanonist,Canonist,Religion & Philosophy
Kanoniker,Canons,Religion & Philosophy
Kantor,Cantor,Religion & Philosophy
Kap Hoornier,Cape Horn,Unconventional & Misc
Kapitalanleger,Capital investor,Business & Economics
Kapitular,Capitular,Religion & Philosophy
Kapitularvikar,Capitular Vicar,Religion & Philosophy
Kapitän,Captain,Governance & Society
Hauptmann,Captain,Governance & Society
Kapuziner,Capuchin,Unconventional & Misc
Kfz-Mechaniker,Car mechanic,STEM
Autoschieber,Car pushers,Business & Economics
Autorennfahrer,Car racer,Sports
Kohlentrimmer,Carbon trimmer,STEM
Karzinologe,Carcinologist,STEM
Kartenmaler,Card painter,Arts & Culture
Kartenverleger,Card publisher,Arts & Culture
Kardiologe,Cardiologist,Health & Medicine
Berufsberater,Career counselor,Business & Economics
Karriereberater,Career counselor,Business & Economics
Karikaturist,Caricaturist,Arts & Culture
Karnevalist,Carnivalist,Arts & Culture
Karambolagespieler,Carom player,Sports
Zimmerer,Carpenter,Arts & Culture
Tischler,Carpenter,Business & Economics
Kartograf,Cartographer,STEM
Kartografiehistoriker,Cartographic historian,Academics & Humanities
Kartographietheoretiker,Cartography theorist,Academics & Humanities
Cartoonzeichner,Cartoonist,Arts & Culture
Stellmacher,Cartwright,Unconventional & Misc
Bildschnitzer,Carver,STEM
Schnitzer,Carver,Arts & Culture
Kassierer,Cashier,Business & Economics
Besetzungsmitglied,Cast member,Arts & Culture
Kastellan,Castellan,Unconventional & Misc
Kastellologe,Castellologist,Academics & Humanities
Casting Director,Casting Director,Unconventional & Misc
Gelegenheitsarbeiter,Casual worker,Arts & Culture
Katechet,Catechist,Religion & Philosophy
Domkapellmeister,Cathedral conductor,"Religion & Philosophy, Arts & Culture"
Domkustos,Cathedral custodian,Religion & Philosophy
Domdechant,Cathedral Dean,Religion & Philosophy
Domprediger,Cathedral preacher,Religion & Philosophy
Dompropst,Cathedral provost,Religion & Philosophy
katholischer Bischof,Catholic bishop,Religion & Philosophy
katholischer Geistlicher,Catholic clergyman,Religion & Philosophy
katholischer Diakon,Catholic deacon,Religion & Philosophy
katholischer Missionar,Catholic missionary,Religion & Philosophy
katholischer Priester,Catholic priest,Religion & Philosophy
Katholischer Priester des Römischen Ritus,Catholic priest of the Roman rite,Religion & Philosophy
katholischer Theologe,Catholic theologian,Religion & Philosophy
Viehhändler,Cattle dealer,Business & Economics
Prominenz,Celebrities,Arts & Culture
Zellbiologe,Cell biologist,STEM
Keller,Cellar,Governance & Society
Cellist,Cellist,Arts & Culture
Keltologe,Celtologist,Academics & Humanities
Zensor,Censor,Governance & Society
Keramiker,Ceramist,Arts & Culture
Geprüfter Technischer Betriebswirt,Certified technical business economist,Business & Economics
Lehrstuhl,Chair,Business & Economics
Vorsitzender,Chairman,Business & Economics
Vorstandsvorsitzender,Chairman of the Management Board,Business & Economics
Aufsichtsratsvorsitzender,Chairman of the Supervisory Board,Business & Economics
Kammermusiker,Chamber musician,Arts & Culture
Kammerherr,Chamberlain,Governance & Society
Kanzler,Chancellor,Governance & Society
Kanzler von Deutschland,Chancellor of Germany,Governance & Society
Ordenskanzler,Chancellor of the Order,Governance & Society
Chansonnier,Chansonnier,Arts & Culture
Chanteuse,Chanteuse,Unconventional & Misc
Charakterdarsteller,Character actor,Arts & Culture
Charakteranimator,Character animator,Arts & Culture
Charakterdesigner,Character designer,Arts & Culture
Ziseleur,Chaser,Unconventional & Misc
Chauffeur,Chauffeur,Unconventional & Misc
Chefkoch,Chef,Arts & Culture
Chemieingenieur,Chemical engineer,STEM
Chemiehistoriker,Chemical historian,Academics & Humanities
Chemielaborant,Chemical laboratory technician,STEM
Chemotechniker,Chemical technician,STEM
Chemikant,Chemical technician,STEM
Chemigraf,Chemigraph,STEM
Chemiker,Chemist,STEM
Chemiedidaktiker,Chemistry didactician,STEM
Chemotechnologe,Chemotechnologist,STEM
Schachschiedsrichter,Chess arbiter,Sports
Schachautor,Chess author,Academics & Humanities
Schachtrainer,Chess coach,Sports
Schachfunktionär,Chess official,Sports
Schachspieler,Chess player,Sports
Schachlehrer,Chess teacher,Academics & Humanities
Schachtheoretiker,Chess theorist,Sports
Oberamtmann,Chief bailiff,Governance & Society
Oberspielleiter,Chief conductor,Governance & Society
Oberkreisdirektor,Chief District Director,Governance & Society
Leitender Ingenieur,Chief Engineer,STEM
Chief Executive Officer,Chief Executive Officer,Business & Economics
Hauptgeschäftsführer,Chief Executive Officer,Business & Economics
Chief Financial Officer,Chief Financial Officer,Business & Economics
Oberförster,Chief Forester,"STEM, Governance & Society"
Chief Information Officer,Chief Information Officer,Governance & Society
Polizeipräsident,Chief of Police,Governance & Society
Chief Officer,Chief Officer,Governance & Society
Chief Operating Officer,Chief Operating Officer,Business & Economics
Chefarzt,Chief physician,Health & Medicine
Oberstaatsanwalt,Chief Public Prosecutor,Law
Oberrabbiner,Chief Rabbi,Religion & Philosophy
Kriminalhauptkommissar,Chief Superintendent,Governance & Society
Hauptkommissar,Chief Superintendent,Governance & Society
Polizeihauptkommissar,Chief Superintendent of Police,Governance & Society
Kinderdarsteller,Child actor,Arts & Culture
Kinder- und Jugendlichenpsychotherapeut,Child and adolescent psychotherapist,Health & Medicine
Kinderpfleger,Child care worker,Governance & Society
Kinderpsychiater,Child psychiatrist,Health & Medicine
Kindheitspädagoge,Childhood educator,Academics & Humanities
Kinderbuchautor,Children's book author,Arts & Culture
Kinderbuchillustrator,Children's book illustrator,Arts & Culture
Schornsteinfeger,Chimney sweep,Business & Economics
Chinovnik,Chinovnik,Governance & Society
Chiropraktiker,Chiropractor,Arts & Culture
Chiropterologe,Chiropterologist,Academics & Humanities
Chocolatier,Chocolatier,Arts & Culture
Chorbischof,Choir bishop,Religion & Philosophy
Chorleiter,Choirmaster,Arts & Culture
Hackstockmeister,Chopping block master,Business & Economics
Choreograf,Choreographer,Arts & Culture
Christlicher Archäologe,Christian archaeologist,Academics & Humanities
christlicher Mönch,Christian monk,Religion & Philosophy
christliche Nonne,Christian nun,Religion & Philosophy
christlicher Theologe,Christian theologian,Religion & Philosophy
Chronist,Chronicler,Academics & Humanities
Kirchenrat,Church Council,Religion & Philosophy
Kirchenhistoriker,Church historian,"Academics & Humanities, Religion & Philosophy"
Kirchenmusikdirektor,Church music director,Religion & Philosophy
Kirchenmusiker,Church musician,Arts & Culture
Kirchenamtsträger,Church officers,Religion & Philosophy
Kirchenmaler,Church painter,Arts & Culture
Kirchenpfleger,Churchwardens,Religion & Philosophy
Cicerone,Cicerone,Arts & Culture
Kinobetreiber,Cinema operator,Arts & Culture
Kreisleiter,Circle leader,Religion & Philosophy
Zirkusdarsteller,Circus performer,Arts & Culture
Stadtarchivar,City Archivist,Governance & Society
Stadtrat,City Council,Governance & Society
Stadtdirektor,City manager,Governance & Society
Stadtphysicus,City Physicus,Health & Medicine
Bauingenieur,Civil engineer,STEM
Tiefbauingenieur,Civil engineer,STEM
Bürgerrechtler,Civil rights activist,Governance & Society
Beamter,Civil servant,Governance & Society
Zivildienst,Civilian service,Governance & Society
Klarinettist,Clarinettist,Arts & Culture
Klassischer Archäologe,Classical archaeologist,Academics & Humanities
klassischer Gitarrist,classical guitarist,Arts & Culture
Klassischer Philologe,Classical philologist,Academics & Humanities
Klassischer Pianist,Classical pianist,Arts & Culture
Altertumswissenschaftler,Classical scholar,Academics & Humanities
klassischer Violinist,classical violinist,Arts & Culture
Reinigungskraft,Cleaner,Unconventional & Misc
Kleriker,Cleric,Governance & Society
Kleriker des Opus Dei,Clerics of Opus Dei,Governance & Society
Sachbearbeiter,Clerk,Governance & Society
Klimaaktivist,Climate activist,Governance & Society
Klimawandelleugner,Climate change deniers,Governance & Society
Klimawissenschaftler,Climate scientist,STEM
Kletterer,Climber,Sports
klinischer Psychologe,Clinical psychologist,Health & Medicine
Näher,Closer,Unconventional & Misc
Clown,Clown,Arts & Cultur
Club-DJ,Club DJ,Arts & Cultur
Cnidariologe,Cnidariologist,STEM
Kutscher,Coachman,Sports
Koadjutorbischof,Coadjutor Bishop,Religion & Philosophy
Kohlenbergmann,Coal miner,Business & Economics
Mitherausgeber,Co-editor,Arts & Culture
Mitgründer,Co-founder,Business & Economics
Kognitionswissenschaftler,Cognitive scientist,STEM
Münzhändler,Coin dealer,Business & Economics
Münzstempelschneider,Coin punch cutter,Arts & Culture
Koleopterologe,Coleopterist,STEM
Kollaborateur,Collaborator,Governance & Society
Collagist,Collagist,Arts & Culture
Sammler,Collector,Arts & Culture
Sammler zoologischer Objekte,Collector of zoological objects,Arts & Culture
Kölner Dombaumeister,Cologne Cathedral master builder,Arts & Culture
Kolonialverwalter,Colonial administrator,Governance & Society
Kolonialist,Colonialist,Governance & Society
Colorist,Colorist,Arts & Culture
Kolumnist,Columnist,Arts & Culture
Kampfkommandant,Combat commander,Governance & Society
Kampfschwimmer,Combat swimmer,Sports
Komiker,Comedian,Arts & Culture
Komödienautor,Comedy writer,Arts & Culture
Comeniusist,Comenius is,Unconventional & Misc
Comiczeichner,Comic artist,Arts & Culture
Comicautor,Comic author,Unconventional & Misc
Feldherr,Commander,Governance & Society
Befehlshaber,Commander,Governance & Society
Kommandeur,Commander,Governance & Society
Kommandant,Commander,Governance & Society
Kommentator,Commentator,Unconventional & Misc
